Ataques,Year,Epoca,Month,Estacion,Country,Sex,Type,Activity,Injury,Mortal
0,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
1,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
2,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
3,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
4,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
5,2016,1980-Actualidad,9,Verano,AUSTRALIA,UNKNOWN,Boat,Fishing,No injury,N
6,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Bathing,Minor injury,N
7,2016,1980-Actualidad,9,Verano,USA,F,Unprovoked,Swimming,Varios,N
8,2016,1980-Actualidad,9,Verano,NEW CALEDONIA,M,Unprovoked,Surfing,Mortal,Y
9,2016,1980-Actualidad,9,Verano,USA,F,Unprovoked,Boogie boarding,Laceraciones,N
10,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
11,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Bitten,N
12,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Fishing,Laceraciones,N
13,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
14,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
15,2016,1980-Actualidad,8,Verano,REUNION,M,Unprovoked,Surfing,Bitten,N
16,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Bathing,Minor injury,N
17,2016,1980-Actualidad,8,Verano,BAHAMAS,M,Unprovoked,Bathing,Laceraciones,N
18,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,SUP Foil boarding,Varios,N
19,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Bitten,N
20,2016,1980-Actualidad,7,Verano,SPAIN,M,Unprovoked,Swimming,Laceraciones,N
21,2016,1980-Actualidad,7,Verano,CHINA,M,Unprovoked,Swimming,Laceraciones,N
22,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Boat,Kayaking,No injury,N
23,2016,1980-Actualidad,7,Verano,USA,M,Provoked,Lobstering,Varios,N
24,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
25,2016,1980-Actualidad,7,Verano,JAPAN,M,Unprovoked,Surfing,Laceraciones,N
26,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
27,2016,1980-Actualidad,7,Verano,BAHAMAS,M,Unprovoked,Fishing,Laceraciones,N
28,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Provoked,Fishing,Varios,N
29,2016,1980-Actualidad,7,Verano,USA,UNKNOWN,Boat,Fishing,No injury,N
30,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Surfing,Minor injury,N
31,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Sin datos,Minor injury,N
32,2016,1980-Actualidad,7,Verano,USA,M,Unprovoked,Swimming,Varios,N
33,2016,1980-Actualidad,7,Verano,BAHAMAS,M,Unprovoked,Scuba Diving,Varios,N
34,2016,1980-Actualidad,7,Verano,SPAIN,F,Unprovoked,Bathing,Varios,N
35,2016,1980-Actualidad,7,Verano,USA,M,Boat,Fishing,No injury,N
36,2016,1980-Actualidad,7,Verano,USA,M,Provoked,Fishing,Varios,N
37,2016,1980-Actualidad,7,Verano,USA,M,Boat,Fishing,No injury,N
38,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Swimming,Varios,N
39,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Provoked,Fishing,Varios,N
40,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Sin datos,Minor injury,N
41,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Surfing,Varios,N
42,2016,1980-Actualidad,6,Primavera,COLUMBIA,M,Unprovoked,Scuba Diving,Varios,N
43,2016,1980-Actualidad,6,Primavera,SOUTH AFRICA,M,Unprovoked,Fishing,Varios,N
44,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Floating,Laceraciones,N
45,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Bathing,Varios,N
46,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Surfing,Varios,N
47,2016,1980-Actualidad,6,Primavera,AUSTRALIA,M,Provoked,Fishing,No injury,N
48,2016,1980-Actualidad,6,Primavera,USA,F,Unprovoked,Floating in tube,Varios,N
49,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Bathing,Varios,N
50,2016,1980-Actualidad,6,Primavera,USA,M,Invalid,Surfing,No injury,N
51,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Swimming,Bitten,N
52,2016,1980-Actualidad,6,Primavera,AUSTRALIA,F,Unprovoked,Diving,Mortal,Y
53,2016,1980-Actualidad,6,Primavera,EGYPT,M,Unprovoked,Swimming,Bitten,N
54,2016,1980-Actualidad,6,Primavera,AUSTRALIA,M,Unprovoked,Fishing,No injury,UNKNOWN
55,2016,1980-Actualidad,6,Primavera,NEW CALEDONIA,M,Unprovoked,Surfing,Varios,N
56,2016,1980-Actualidad,5,Primavera,AUSTRALIA,M,Unprovoked,Surfing,Mortal,Y
57,2016,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Swimming,Varios,N
58,2016,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Swimming,Varios,N
59,2016,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Swimming,Varios,N
60,2016,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Swimming,Laceraciones,N
61,2016,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Swimming,Varios,N
62,2016,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Swimming,Bitten,N
63,2016,1980-Actualidad,5,Primavera,USA,F,Provoked,Teasing a shark,Varios,N
64,2016,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Floating,Varios,N
65,2016,1980-Actualidad,5,Primavera,NEW ZEALAND,M,Provoked,Fishing,Bitten,N
66,2016,1980-Actualidad,4,Primavera,INDONESIA,M,Unprovoked,Surfing,Bitten,N
67,2016,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Surfing,Minor injury,N
68,2016,1980-Actualidad,4,Primavera,SOUTH AFRICA,M,Unprovoked,Surfing,No injury,N
69,2016,1980-Actualidad,4,Primavera,AUSTRALIA,M,Unprovoked,Swimming,Varios,N
70,2016,1980-Actualidad,4,Primavera,FRENCH POLYNESIA,M,Provoked,Fishing,Varios,N
71,2016,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Fishing,Varios,N
72,2016,1980-Actualidad,4,Primavera,NEW CALEDONIA,F,Unprovoked,Walking,Mortal,Y
73,2016,1980-Actualidad,4,Primavera,CAPE VERDE,M,Invalid,Sin datos,Varios,N
74,2016,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Fishing,Bitten,N
75,2016,1980-Actualidad,4,Primavera,USA,M,Invalid,SUP,No injury,N
76,2016,1980-Actualidad,3,Invierno,USA,F,Unprovoked,Bathing,Minor injury,N
77,2016,1980-Actualidad,3,Invierno,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
78,2016,1980-Actualidad,3,Invierno,USA,M,Unprovoked,Sin datos,Minor injury,N
79,2016,1980-Actualidad,3,Invierno,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
80,2016,1980-Actualidad,3,Invierno,BAHAMAS,M,Provoked,Sin datos,Minor injury,N
81,2016,1980-Actualidad,3,Invierno,USA,UNKNOWN,Invalid,Surfing,No injury,N
82,2016,1980-Actualidad,3,Invierno,USA,M,Unprovoked,Surfing,Laceraciones,N
83,2016,1980-Actualidad,3,Invierno,FIJI,M,Unprovoked,Diving for beche-de-mer,Mortal,Y
84,2016,1980-Actualidad,3,Invierno,USA,M,Unprovoked,Sin datos,Varios,N
85,2016,1980-Actualidad,3,Invierno,AUSTRALIA,M,Unprovoked,Fishing,Varios,N
86,2016,1980-Actualidad,3,Invierno,BRAZIL,M,Unprovoked,Swimming,Minor injury,N
87,2016,1980-Actualidad,2,Invierno,NEW CALEDONIA,M,Unprovoked,Surfing,Varios,N
88,2016,1980-Actualidad,2,Invierno,NEW CALEDONIA,M,Unprovoked,Fishing,Bitten,N
89,2016,1980-Actualidad,2,Invierno,DOMINICAN REPUBLIC,F,Unprovoked,Bathing,Varios,N
90,2016,1980-Actualidad,2,Invierno,CAYMAN ISLANDS,M,Invalid,Feeding stingrays?,Minor injury,N
91,2016,1980-Actualidad,2,Invierno,AUSTRALIA,M,Invalid,Surfing,No injury,N
92,2016,1980-Actualidad,2,Invierno,AUSTRALIA,F,Unprovoked,Walking,Varios,N
93,2016,1980-Actualidad,2,Invierno,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
94,2016,1980-Actualidad,1,Invierno,SOUTH AFRICA,M,Boat,Fishing,No injury,N
95,2016,1980-Actualidad,1,Invierno,USA,M,Unprovoked,Surfing,Laceraciones,N
96,2016,1980-Actualidad,1,Invierno,USA,F,Unprovoked,Surfing,No injury,N
97,2016,1980-Actualidad,1,Invierno,USA,M,Unprovoked,Fishing,Varios,N
98,2016,1980-Actualidad,1,Invierno,UNITED ARAB EMIRATES,M,Boat,Fishing,No injury,N
99,2016,1980-Actualidad,1,Invierno,USA,M,Unprovoked,Paddle boarding,No injury,N
100,2016,1980-Actualidad,1,Invierno,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
101,2016,1980-Actualidad,1,Invierno,AUSTRALIA,M,Unprovoked,Bathing,Varios,N
102,2016,1980-Actualidad,1,Invierno,AUSTRALIA,M,Unprovoked,Fishing,Laceraciones,N
103,2015,1980-Actualidad,12,Otoño,SOUTH AFRICA,M,Boat,Kayak Fishing,No injury,N
104,2015,1980-Actualidad,12,Otoño,SPAIN,F,Unprovoked,Swimming,Laceraciones,N
105,2015,1980-Actualidad,12,Otoño,USA,M,Unprovoked,Paddle boarding,No injury,N
106,2015,1980-Actualidad,12,Otoño,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
107,2015,1980-Actualidad,12,Otoño,BRAZIL,M,Unprovoked,Diving,Varios,N
108,2015,1980-Actualidad,12,Otoño,ARUBA,M,Unprovoked,Sea disaster,Mortal,Y
109,2015,1980-Actualidad,12,Otoño,AUSTRALIA,UNKNOWN,Boat,Fishing,No injury,N
110,2015,1980-Actualidad,12,Otoño,BAHAMAS,M,Unprovoked,Fishing,Varios,N
111,2015,1980-Actualidad,12,Otoño,SOUTH AFRICA,F,Unprovoked,Swimming / Bathing,Laceraciones,N
112,2015,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Surfing,Varios,N
113,2015,1980-Actualidad,11,Otoño,USA,F,Unprovoked,Swimming,Varios,N
114,2015,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Surfing,Laceraciones,N
115,2015,1980-Actualidad,11,Otoño,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
116,2015,1980-Actualidad,12,Otoño,USA,F,Invalid,Surfing,Varios,N
117,2015,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Swimming,Varios,N
118,2015,1980-Actualidad,11,Otoño,USA,F,Unprovoked,Bathing,Varios,N
119,2015,1980-Actualidad,11,Otoño,MOZAMBIQUE,M,Unprovoked,Fishing,Varios,N
120,2015,1980-Actualidad,10,Otoño,AUSTRALIA,M,Unprovoked,Fishing,Minor injury,N
121,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Laceraciones,N
122,2015,1980-Actualidad,10,Otoño,SOUTH AFRICA,M,Unprovoked,Surfing,Laceraciones,N
123,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Laceraciones,N
124,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Bitten,N
125,2015,1980-Actualidad,10,Otoño,MOZAMBIQUE,F,Unprovoked,Fishing,Mortal,Y
126,2015,1980-Actualidad,10,Otoño,USA,M,Invalid,Surfing,Bitten,N
127,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Swimming,Varios,N
128,2015,1980-Actualidad,10,Otoño,USA,M,Boat,Kayak Fishing,No injury,N
129,2015,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Boogie boarding,Varios,N
130,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Varios,N
131,2015,1980-Actualidad,10,Otoño,MOZAMBIQUE,M,Unprovoked,Fishing,Varios,N
132,2015,1980-Actualidad,10,Otoño,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
133,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Varios,N
134,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Bathing,Bitten,N
135,2015,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Varios,N
136,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Varios,N
137,2015,1980-Actualidad,9,Verano,AUSTRALIA,F,Unprovoked,Bathing,Varios,N
138,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Fishing,No injury,N
139,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
140,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Fishing,Varios,N
141,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Bathing,Varios,N
142,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Photographing fish,Varios,N
143,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Swimming,Laceraciones,N
144,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Varios,N
145,2015,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
146,2015,1980-Actualidad,9,Verano,USA,F,Unprovoked,Stand-Up Paddleboarding,No injury,N
147,2015,1980-Actualidad,9,Verano,USA,M,Provoked,Kayak Fishing,Varios,N
148,2015,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
149,2015,1980-Actualidad,9,Verano,USA,M,Unprovoked,Sin datos,Bitten,N
150,2015,1980-Actualidad,9,Verano,THAILAND,F,Unprovoked,Bathing,Bitten,N
151,2015,1980-Actualidad,9,Verano,FIJI,M,Unprovoked,Fishing,Bitten,N
152,2015,1980-Actualidad,8,Verano,USA,F,Unprovoked,Surfing,No injury,N
153,2015,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,No injury,N
154,2015,1980-Actualidad,8,Verano,USA,M,Invalid,Sin datos,Varios,N
155,2015,1980-Actualidad,8,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
156,2015,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Varios,N
157,2015,1980-Actualidad,8,Verano,USA,F,Unprovoked,Walking,Laceraciones,N
158,2015,1980-Actualidad,8,Verano,USA,M,Unprovoked,Kayak Fishing,No injury,N
159,2015,1980-Actualidad,8,Verano,SPAIN,M,Invalid,Swimming,Minor injury,N
160,2015,1980-Actualidad,8,Verano,USA,M,Provoked,Fishing,Bitten,N
161,2015,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,Laceraciones,N
162,2015,1980-Actualidad,7,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
163,2015,1980-Actualidad,7,Verano,USA,F,Invalid,Floating,Varios,N
164,2015,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Diving,Mortal,Y
165,2015,1980-Actualidad,7,Verano,USA,M,Provoked,Kayak Fishing,No injury,N
166,2015,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,Bitten,N
167,2015,1980-Actualidad,7,Verano,REUNION,M,Unprovoked,Surfing,Bitten,N
168,2015,1980-Actualidad,7,Verano,SOUTH AFRICA,M,Unprovoked,Surfing,No injury,N
169,2015,1980-Actualidad,7,Verano,USA,M,Unprovoked,Surfing,No injury,N
170,2015,1980-Actualidad,7,Verano,USA,M,Invalid,Treading water,Varios,N
171,2015,1980-Actualidad,7,Verano,FRENCH POLYNESIA,M,Invalid,Swimming,Varios,N
172,2015,1980-Actualidad,7,Verano,BAHAMAS,F,Unprovoked,Fishing,Laceraciones,N
173,2015,1980-Actualidad,7,Verano,USA,M,Unprovoked,Sin datos,Laceraciones,N
174,2015,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
175,2015,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing ,Varios,N
176,2015,1980-Actualidad,7,Verano,USA,M,Unprovoked,Swimming,Varios,N
177,2015,1980-Actualidad,6,Primavera,AUSTRALIA,M,Unprovoked,Surfing,Bitten,N
178,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Playing in the water,Varios,N
179,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Swimming,Varios,N
180,2015,1980-Actualidad,6,Primavera,SOUTH AFRICA,M,Unprovoked,Body Boarding,Varios,N
181,2015,1980-Actualidad,6,Primavera,USA,F,Invalid,Swimming,Varios,N
182,2015,1980-Actualidad,6,Primavera,SOUTH AFRICA,M,Unprovoked,Surfing,Varios,N
183,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Bathing,Varios,N
184,2015,1980-Actualidad,6,Primavera,AUSTRALIA,M,Provoked,Swimming,Varios,N
185,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Surfing,Varios,N
186,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Swimming,Minor injury,N
187,2015,1980-Actualidad,6,Primavera,AUSTRALIA,F,Invalid,Surfing,Varios,N
188,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Bathing,Minor injury,N
189,2015,1980-Actualidad,6,Primavera,PUERTO RICO,M,Unprovoked,Fishing,Varios,N
190,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Swimming,Minor injury,N
191,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Bathing,Varios,N
192,2015,1980-Actualidad,6,Primavera,USA,F,Unprovoked,Bathing,Varios,N
193,2015,1980-Actualidad,6,Primavera,USA,F,Unprovoked,Sin datos,Varios,N
194,2015,1980-Actualidad,6,Primavera,USA,F,Unprovoked,Boogie boarding,Varios,N
195,2015,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Playing,Laceraciones,N
196,2015,1980-Actualidad,6,Primavera,USA,F,Unprovoked,Attempting to rescue a shark,Varios,N
197,2015,1980-Actualidad,6,Primavera,REUNION,M,Unprovoked,Surfing,Bitten,N
198,2015,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Bathing,Bitten,N
199,2015,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Bathing,Varios,N
200,2015,1980-Actualidad,5,Primavera,FRENCH POLYNESIA,M,Unprovoked,Fishing,Laceraciones,N
201,2015,1980-Actualidad,5,Primavera,USA,F,Unprovoked,Swimming,Varios,N
202,2015,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Surfing,Varios,N
203,2015,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Sin datos,Varios,N
204,2015,1980-Actualidad,5,Primavera,NEW CALEDONIA,M,Unprovoked,Bathing,Mortal,Y
205,2015,1980-Actualidad,5,Primavera,USA,M,Unprovoked,Swimming,Laceraciones,N
206,2015,1980-Actualidad,5,Primavera,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
207,2015,1980-Actualidad,5,Primavera,SOUTH AFRICA,M,Unprovoked,Diving,Varios,N
208,2015,1980-Actualidad,4,Primavera,USA,F,Unprovoked,Bathing,Mortal,Y
209,2015,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Bathing,Laceraciones,N
210,2015,1980-Actualidad,4,Primavera,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
211,2015,1980-Actualidad,4,Primavera,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
212,2015,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Photographing the shark,Laceraciones,N
213,2015,1980-Actualidad,4,Primavera,AUSTRALIA,M,Unprovoked,Paddle boarding,Varios,N
214,2015,1980-Actualidad,4,Primavera,REUNION,M,Unprovoked,Surfing,Mortal,Y
215,2015,1980-Actualidad,3,Invierno,BRAZIL,M,Invalid,Surfing,Varios,N
216,2015,1980-Actualidad,4,Primavera,USA,M,Unprovoked,Fishing,Varios,N
217,2015,1980-Actualidad,3,Invierno,ITALY,M,Invalid,Diving,Mortal,Y
218,2015,1980-Actualidad,3,Invierno,SOUTH AFRICA,M,Boat,Kayak Fishing,No injury,N
219,2015,1980-Actualidad,3,Invierno,EGYPT,M,Unprovoked,Swimming,Mortal,Y
220,2015,1980-Actualidad,3,Invierno,USA,M,Unprovoked,Bathing / Bathing,Laceraciones,N
221,2015,1980-Actualidad,3,Invierno,FRENCH POLYNESIA,M,Unprovoked,Hand feeding sharks,Bitten,N
222,2015,1980-Actualidad,3,Invierno,AUSTRALIA,M,Boat,Fishing,Varios,N
223,2015,1980-Actualidad,3,Invierno,MEXICO,M,Provoked,Fishing,Bitten,N
224,2015,1980-Actualidad,3,Invierno,FRENCH POLYNESIA,M,Unprovoked,Sitting in the water,Bitten,N
225,2015,1980-Actualidad,2,Invierno,ATLANTIC OCEAN,UNKNOWN,Boat,Transatlantic Rowing,No injury,N
226,2015,1980-Actualidad,2,Invierno,REUNION,F,Unprovoked,Swimming,Mortal,Y
227,2015,1980-Actualidad,2,Invierno,AUSTRALIA,M,Unprovoked,Surfing,Mortal,Y
228,2015,1980-Actualidad,2,Invierno,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
229,2015,1980-Actualidad,2,Invierno,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
230,2015,1980-Actualidad,1,Invierno,AUSTRALIA,M,Boat,Rowing,No injury,N
231,2015,1980-Actualidad,1,Invierno,USA,M,Provoked,Fishing,Laceraciones,N
232,2015,1980-Actualidad,1,Invierno,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
233,2015,1980-Actualidad,1,Invierno,USA,M,Boat,Fishing,No injury,N
234,2015,1980-Actualidad,1,Invierno,AUSTRALIA,F,Invalid,Surfing,Varios,N
235,2015,1980-Actualidad,1,Invierno,AUSTRALIA,M,Boat,Fishing,Varios,N
236,2015,1980-Actualidad,1,Invierno,AUSTRALIA,M,Unprovoked,Filming,Varios,N
237,2015,1980-Actualidad,1,Invierno,USA,M,Invalid,Swimming after falling overboard,Varios,N
238,2015,1980-Actualidad,1,Invierno,BAHAMAS,F,Unprovoked,Bathing,Varios,N
239,2015,1980-Actualidad,1,Invierno,SOUTH AFRICA,M,Unprovoked,Surfing,Laceraciones,N
240,2015,1980-Actualidad,1,Invierno,USA,M,Unprovoked,Sin datos,Bitten,N
241,2014,1980-Actualidad,12,Otoño,AUSTRALIA,UNKNOWN,Unprovoked,Surfing,Laceraciones,N
242,2014,1980-Actualidad,12,Otoño,AUSTRALIA,M,Unprovoked,Fishing,Mortal,Y
243,2014,1980-Actualidad,12,Otoño,GREECE,UNKNOWN,Sea Disaster,Sin datos,Bitten,N
244,2014,1980-Actualidad,12,Otoño,SOUTH AFRICA,UNKNOWN,Invalid,Swimming,Varios,N
245,2014,1980-Actualidad,12,Otoño,USA,M,Unprovoked,Surfing,Varios,N
246,2014,1980-Actualidad,12,Otoño,AUSTRALIA,M,Provoked,Fishing,Varios,N
247,2014,1980-Actualidad,12,Otoño,JAPAN,M,Unprovoked,Diving / Filming,No injury,N
248,2014,1980-Actualidad,12,Otoño,AUSTRALIA,M,Unprovoked,Fishing,Mortal,Y
249,2014,1980-Actualidad,12,Otoño,SPAIN,M,Provoked,Fishing,Varios,N
250,2014,1980-Actualidad,11,Otoño,AUSTRALIA,M,Unprovoked,Surfing,Minor injury,N
251,2014,1980-Actualidad,11,Otoño,MAURITIUS,M,Provoked,Fishing,Bitten,Y
252,2014,1980-Actualidad,11,Otoño,AUSTRALIA,M,Boat,Fishing,Varios,N
253,2014,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Surfing,Varios,N
254,2014,1980-Actualidad,11,Otoño,USA,UNKNOWN,Boat,Sin datos,Varios,N
255,2014,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Bathing,Varios,N
256,2014,1980-Actualidad,11,Otoño,AUSTRALIA,M,Unprovoked,Surfing,Minor injury,N
257,2014,1980-Actualidad,11,Otoño,USA,M,Unprovoked,Surfing,Minor injury,N
258,2014,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Surfing,Laceraciones,N
259,2014,1980-Actualidad,10,Otoño,AUSTRALIA,M,Provoked,Surfing,Varios,N
260,2014,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Stand-Up Paddleboarding,No injury,N
261,2014,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Stand-Up Paddleboarding,No injury,N
262,2014,1980-Actualidad,10,Otoño,USA,F,Boat,Canoeing,No injury,N
263,2014,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,No injury,N
264,2014,1980-Actualidad,10,Otoño,AUSTRALIA,F,Unprovoked,Surfing,Laceraciones,N
265,2014,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Bathing in inner tube,Laceraciones,N
266,2014,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Surfing,Varios,N
267,2014,1980-Actualidad,10,Otoño,USA,F,Unprovoked,Fishing,Bitten,N
268,2014,1980-Actualidad,10,Otoño,AUSTRALIA,M,Boat,Kayaking,Varios,N
269,2014,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Bitten,N
270,2014,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Bitten,N
271,2014,1980-Actualidad,10,Otoño,USA,M,Boat,Kayaking,No injury,N
272,2014,1980-Actualidad,10,Otoño,USA,M,Boat,Kayaking ,No injury,N
273,2014,1980-Actualidad,10,Otoño,USA,M,Unprovoked,Surfing,Laceraciones,N
274,2014,1980-Actualidad,10,Otoño,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
275,2014,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
276,2014,1980-Actualidad,9,Verano,FRENCH POLYNESIA,F,Unprovoked,Feeding fish,Varios,N
277,2014,1980-Actualidad,9,Verano,USA,M,Invalid,Surfing,Varios,N
278,2014,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Swimming,Mortal,Y
279,2014,1980-Actualidad,9,Verano,USA,M,Unprovoked,Fishing,Bitten,N
280,2014,1980-Actualidad,9,Verano,USA,F,Unprovoked,Kayaking ,No injury,N
281,2014,1980-Actualidad,9,Verano,USA,M,Provoked,Fishing,Varios,N
282,2014,1980-Actualidad,9,Verano,SPAIN,M,Unprovoked,Playing with an air mattress,Laceraciones,N
283,2014,1980-Actualidad,8,Verano,USA,F,Unprovoked,Surfing,Varios,N
284,2014,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
285,2014,1980-Actualidad,8,Verano,USA,UNKNOWN,Invalid,Sin datos,Varios,N
286,2014,1980-Actualidad,8,Verano,USA,M,Provoked,Fishing,Laceraciones,N
287,2014,1980-Actualidad,8,Verano,SPAIN,F,Unprovoked,Swimming,Varios,N
288,2014,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Varios,N
289,2014,1980-Actualidad,8,Verano,USA,F,Unprovoked,Bathing,Bitten,N
290,2014,1980-Actualidad,8,Verano,USA,M,Provoked,Fishing,Laceraciones,N
291,2014,1980-Actualidad,8,Verano,USA,UNKNOWN,Unprovoked,Kite boarding,Varios,N
292,2014,1980-Actualidad,8,Verano,AUSTRALIA,M,Unprovoked,Fishing,Laceraciones,N
